path,description
Hand_Cannon_3.png,Large thick rectangular Hand Cannon. Scope mounted with a tall elongated Barell. Sand themed. Black and Crimson red accents.
Hand_Cannon_62.png,small barrell Hand Cannon. Normal and boring. orange highlights. Blue body.
Hand_Cannon_66.png,Exotic Hand Cannon with a Long Cylindrical Barrel and gold plating. White body. Powerful
Hand_Cannon_7.png,Powerful smokey Hand Cannon with a wavey barrel. Golden spikes. Smokey. Cloud like. Black and light Grey
Hand_Cannon_85.png,"Rectangular Barrell Hand Cannon with a cyberpunk themed barrell. Neyon Purple, neyon blue, Navy blue. Epic"
Hand_Cannon_92.png,Square Barrell Hand Cannon with a color scheme that resembles a map.
Hunter_1.png,Sleek Long Hunter Weapon. Sharp curved axe like blade. black with orange accents
Hunter_2.png,Katana like Hunter Weapon. golden handle. Sharp shiny Black blade with a jagged tip
Hunter_4.png,Katana like Hunter Weapon. Black handle. Sharp shiny silver blade with a jagged multicolor tip.
Hunter_5.png,Katana like Hunter Weapon. Black handle. Sharp shiny silver blade with a jagged Black tip.
Linear_Fusion_Rifle_11.png,LInear Fusion Rifle with a Rectangular Blocky apperance. Twisted Barell with big Rectangular body. 
Linear_Fusion_Rifle_18.png,sleek Linear Fusion Rifle with a rombus shaped Barrell and a smooth body. Thin and smooth. Navy blue wiht white markings.
Linear_Fusion_Rifle_2.png,Linear Fusion Rifle with Huge cylindrical industrial barrell. Yellow body. micro tools poking out rrom the sides. Steel Barrel
Linear_Fusion_Rifle_20.png,"Linear Fusion Rifle with a long rombus Barrel. smooth and sleek. Crimson red supper, light grey lower."
Linear_Fusion_Rifle_22.png,Exotic Linear Fusion Rifle with copper coils and 2 large barrels. smooth and futuristic. Poweful. dark Grey
Linear_Fusion_Rifle_26.png,Linear Fusion Rifle with a spikey Cylindrical Barrel. Large Spikes. Exotic. light brown with navy blue color highlights.
Linear_Fusion_Rifle_27.png,Sleek Linear Fusion Rifle with a smooth cylindrical barrel and sharp bayonet. Stripped Barel. Crimson red marbel. Black body. Shiny Steel. Thin
Linear_Fusion_Rifle_28.png,Linear Fusion Rifle with a rombus shaped long Barrel. Smooth and well built. Black and purple with lime green highlights. Thick
Linear_Fusion_Rifle_3.png,Linear Fusion rifle with a triangulated prismatic geometrically figured barrel. Large. Exotic. Strange. Futuristic. kaleidoscope. Unique. Poweful.
Linear_Fusion_Rifle_4.png,Linear Fusion Rifle with a skinny barrel and thin shape. Rounded battery pack in the front of weapon. Copper design.
Machine_Gun_14.png,"Big Rectangular Machine gun. Smooth, rounded curves. Large Magazine of bullets. Cyber City themed. Neyon purple, Light blue."
Machine_Gun_16.png,"Rectangular Machine Gun with a white reinforced Barrell. Large Magazine holding bullets. White, Neyon blue"
Machine_Gun_19.png,Machine gun with a tapering Barrel. Large Magazine holding bullets. Rectangular tall body.
Machine_Gun_26.png,Cylindrical Barrel Machine Gun with Large open Muzzle. Sharp Spikes along the body. Large Magazine holding bullets. Brown with navy blue markings.
Machine_Gun_32.png,Machine Gun with a rectangular barrel and a silencer on the muzzle. equiped with a Bayonet. Blue Thread tied to the body. Large Magazine with bullets. Blue and Baige
Machine_Gun_34.png,Black Machine Gun with a sleek Barrel design. Rounded smooth design. Large magazine with bullets
Machine_Gun_40.png,Machine Gun with 2 rectangular Barrels. Gold plated. rectangular carvings on the barrel. White curved body. Black Magazine to hold bullets
Machine_Gun_41.png,Machine gun with a wooden rectangular Build. White designs painted. Large Magazine Hold Bullets
Machine_Gun_5.png,Machine Gun with large Diamond shaped barrel. Heavy Duty. small fins on the barrel and large magazine holding bullets.
Machine_Gun_9.png,Cylindrical Barrell Machhine Gun with leather bands wrapped around it. Copper and blue marbel. Large Magazine with bullets.
Pulse_Rifle_12.png,Pulse RIfle with a thin shape. small rectangular Barrel. Red and Royal blue bright colors
Pulse_Rifle_16.png,Pulse RIfle with a LArge silencer. mounted scope. common. Regular body. white with green
Pulse_Rifle_19.png,Futuristic Pulse rifle with a curved rectangular body and a cylindrical barrel. Baige accents with a galaxy purple body. Cosmic.
Pulse_Rifle_2.png,Exotic. Futuristic Pulse Rifle with 4 barrels. Stainless Steel. Shiny. purple plasma accents.
Pulse_Rifle_23.png,Pulse Rifle with square body and cylindrical muzzle. Covered in red Leather. Golden spikes spaced well.
Pulse_Rifle_38.png,Exotic. Futuristic. Pulse Rifle with Thin Rectangular body and bright blue silencer. edtched details. Bright red powder blue
Pulse_Rifle_45.png,Pulse Rifle with white wires running across its body. Copper Highlights and rings. Dark green Barrel
Pulse_Rifle_6.png,"Pulse Rifle with a Tapering Barrel. Squares, Chizzled, diamonds, detailed. Black with cold accents."
Pulse_Rifle_7.png,Pulse Rifle with a tiny thin barrell and thin rectangular body. Golden wings on body. Orange and Dark Grey
Rocket_Launcher_1.png,Rocket Launcher with a big pointy beak barel.Exotic. Alien. Cosmic. Dark Matter. Raven.
Rocket_Launcher_12.png,Rocket Launcher with a sleek smooth cylindricle apperance. Stainless Steel. Aqua colored. wooden handle.
Rocket_Launcher_35.png,"Cylindrical body rocket launcher with a rectangular support piece on the top of the body. White Barrel, Orange rear. "
Rocket_Launcher_4.png,Rocket Launcher with tons of rocket exit holes. Strange Sphereical looking Body. Rebar pipes and handles. Exotic. Bee hive. Many missles. Powerful.
Rocket_Launcher_45.png,ROcket Launcher with a cylindrical body. Covered in Red Leather with golden spikes on the top and sides. powerful.
Rocket_Launcher_49.png,Rocket Launcher with a smooth rounded exterior. white stripped details. Shell around main body
Rocket_Launcher_5.png,Rocket launcher with an large octogon barel and Dense body. Bulky. Blocky. Handle on the top. Navy blue
Rocket_Launcher_6.png,Pink Rocket Launcher with horns and smooth metalic finish. Powerful. Exotic. Strong. 
Rocket_Launcher_60.png,Rocket Launcher with wide cylindrical front and a blocky rectangular rear. Front handle. Brown with orange and gold accents.
Rocket_Launcher_68 - Copy.png,Rocket Launcher with wide cylindrical front and a blocky rectangular rear. Front handle. Dark Green and black. Ruggid look. Used apperance.
Scout_Rifle_112.png,Scout Rifle with a long diamond shaped sleek shiny barrel. It is a thin weapon with sharp corners. White Camo
Scout_Rifle_120.png,Scout Rifle with a Large Suppressor on the barrel. Scope. Narrow body. Marron and black
Scout_Rifle_20.png,Scout Rifle with a truck exaust as a barrell. Fire truck red body. Ruggid design. 
Scout_Rifle_28.png,Scout Rifle with a sleek futuristic narrow look. Long body and cylindrical design. Exotic. Poweful. Futuristic. White and Gold
Scout_Rifle_3.png,Scout Rifle with a toothed barrel. Exotic. Strange. Powerful. Futuristic. Rare.
Scout_Rifle_30.png,Scout Rifle with a long diamond shaped sleek shiny barrel. It is a thin weapon with sharp corners. Black camo
Scout_Rifle_42.png,Scout Rifle with a long diamond shaped sleek shiny barrel. It is a thin weapon with sharp corners. Brown with a matt black barrel
Scout_Rifle_48.png,Scout Rifle with a thin rectangular design. Very flat. smaller gun. White with black
Scout_Rifle_6.png,Scout Rifle with 3 Barrels. Sharp and narrow design with aggressive points and curves. Exotic. Powerful. strong. Sharp. Futuristic. black and gold
Scout_Rifle_78.png,Scout Rifle with a Large Suppressor on the Barrel. Rectangular body with details. Maroon and gold.
Scout_Rifle_97.png,scout rifle with a long barrel. Very sleek and smooth desisgn. cosmic apperance. Curved and cylindrical body. Exotic. Powerful. purple nad beige
Shotgun_1.png,Double Barrel Shotgun with a very Cubic and rectangular body. Exotic. Powerful. Strong. shiny. Heavy Duty. Black Barrel with Blue handle.
Shotgun_112.png,shotgun with a brownish rectangular body. Worn down. large stock. long gun. brown and green. common. normal.
Shotgun_118.png,shotgun with green body and black highlights. medium sized. common. normal.
Shotgun_19.png,Shotgun with a rectangular design and a purple nad pink hue. quick sleek and fast. rectangular prism. shiny blue handle. smooth.
Shotgun_2.png,Shotgun with a long cylindrical shape. molten rock color scheme. smooth body with curves and waves. Exotic. Powerful. Strong. Heavy Duty. 
Shotgun_29.png,A very rusted shotgun with a strong cylindrical shape. Very old. Worn down. Ruggid. Rusty. Black and orange.
Shotgun_5.png,Shotgun wiht a cyber-steampunk apperance. Flat rectangular body. Spikey. Claws at the end of barrel. Exotic. Powerful. Strong. Spikey. Heavy duty. Futuristic. 
Shotgun_71.png,Shotgun with a Large Cylindrical body. Spikey Barrel. cannon like. Brown colored.
Shotgun_8.png,Shotgun with a shperical shape. Claws on the end of body. white horns. Exotic. Powerful. Alien. Futuristic. 
Shotgun_89.png,small Shotgun with a rectangular flat body. white color with brown accents
Sidearm_2.png,Sidearm with 2 Barrels stacked on top of each other. Pistol like. small. Black and grey. Exotic. Unique. Futuristic. powerful
Sidearm_23.png,sidearm with a suppressor on it. Simple. Common. normal. light grey.
Sidearm_35.png,Side arm with a flat apperance. Battery cells beneth barrel. Light blue. ice apperance.
Sidearm_4.png,Sidearm with a flat appearance and curved body. Lazer beneath barrel. Curved handle. Exotic. Futuristic. Powerful.
Sidearm_62.png,Orange and Blue Sidearm. Common. simple. small. flat. rectangular.
Sidearm_63.png,Sidearm with a wide opening barrel. Flat apperance. Futuristic. Powerful. bright blue and red.
Sidearm_70.png,Sidearm with a long barrel. cylindrical apperance with smooth curves. worn down paint. Purple white and grey.
Sidearm_75.png,Sidearm with a Diamon shaped barrel with wires feeding off the barrel into a battery pack. Strong. Futuristic. Exotic. Powerful. Steampunk. Energy. Copper. 
Sidearm_78.png,Sidearm with 2 barrels. Ruggid worn down old apperance. Rusty and used. Rectanglar shape and layered build. Common. Normal
Sidearm_89.png,Sidearm with a silencer on barrel. knife built into the handle. maroon and black. Worn down. ruggid.
Sniper_Rifle_1.png,Sniper Rifle with coils around its long barrel. long body. cylindrical barrel. beige and purple
Sniper_Rifle_104.png,Sniper rifle with a long barrel and large scope. worn down. ruggid apperance. Blue and brown. normal. common.
Sniper_Rifle_20.png,Sniper rifle with a Large Suprressor on the end of the barrel. Hooked body. Sharp edges and corners. Powerful.
Sniper_Rifle_21.png,Sniper Rifle with a bone like apperance. Bayonet on the end of the weapon. Teeth on the barrel. sharp and sleek. Bone and maroon.
Sniper_Rifle_5.png,Sniper Rifle with a Long spikey Barrel. Frozen ice on the barrel tip. Spikes throught the gun. Exotic. Powerful. Futuristic. Dark matter. spikey. Alien. Strong.
Sniper_Rifle_78.png,Sniper with a large silencer. White cammon. thin narrow apperance. common
Sniper_Rifle_87.png,Sniper Rifle with a sleek and shiny design. Blue threads hanging from gun. large suppressor. Futuristic. Exotic. blue and gold
Sniper_Rifle_90.png,Long Octogonal Sniper Rifle with a smooth and sleek apperance. Exotic. Futuristic. Rare. Strong. Powerful. 
Sniper_Rifle_95.png,Sniper Rifle with a rectangular apperance. Purple and pink cyberpunk themed body. light blue. shiny
Sniper_Rifle_97.png,Sniper rifle with a Large Suprressor on the end of the barrel. Hooked body. Sharp edges and corners. Powerful.
Submachine_Gun_1.png,submachine gun with a sharp spikey apperance. Horns and blades all over the gun. Exotic. Powerful. Strong. Demon like. Futuristic. 
Submachine_Gun_22.png,Submachine gun with a rectangular barrel and flat apperance. Trapizoidal shape. beige color. 
Submachine_Gun_31.png,submachine gun with a triangular shape and small barrel. Grey and white top. Triangle. flat.
Submachine_Gun_4.png,Golden submachine gun with 2 horns. Long stock. 2 handles. Rectangular.
Submachine_Gun_5.png,Traingular submachine gun. Rigid. futuristic. big. strong. Neyon green and black.
Submachine_Gun_57.png,submachine gun with a triangular shape and small barrel. maroon. Triangle. flat.
Submachine_Gun_6.png,submachine gun with a futuristic flat design. Small and narrow barrel. circular symbols on the side.
Submachine_Gun_81.png,Submachine gun with a small cylindrical barrel. Flat and small body. indented. Bright blue and white. Futuristic.
Submachine_Gun_85.png,Submachine gun with a skeek smooth and sharp design. Bayonet. Crimson Red ghost like apperance . Futuristic. Exotic. Powerful. strong.
Submachine_Gun_93.png,Very flat submachine gun. flat and rectangular. normal common. grey
Sword_1.png,Cosmic beautiful multicolored sword with large curved blade. Gemstone inide of blade. Design within blade. Exotic. Rare. Futuristic. Powerful
Sword_12.png,Sword with a rectangular doul sided blade design. Neyon stripe down middle. Exotic. Futuristic. Powerful. Big. Strong. Heavy duty. Rectangle
Sword_18.png,Sword with a sleek and narrow design. Red handle and red painted blade. Machete like. common
Sword_2.png,Sword with a winding snake like gaurd and beaded handle. Matt black curvey wavey blade. Wavey. Exotic. Powerful. Futuristic. Strong.
Sword_29.png,Sword with an arcing curved blade. Reinforced. Gold and bright blue. Exotic. Rare. Curved. Powerful. Plasma. Futuristic
Sword_3.png,Sword with a very Rectangular apperance. Very reinforced body and blade. Heavy duty. Heavy. Brute. Powerful. Exotic. Extreme. Rare. Strong. Rectangle
Sword_34.png,Sword with a purple plasma blade. Exotic. Powerful. Strong. Fast. futuristic. White and green colors.
Sword_38.png,Swift and sleek sword. Narrow and quick. Flat normal design. Orange and blue.
Sword_44.png,Reinforced sword with a razor sharp blade. Steel plated. Grey and black. Machete like. 
Sword_9.png,Cosmic Royal Sword. 2 spikes on blade. Strong purple gaurd. Exotic. Powerful. Sword shaped.
Titan_1.png,Titian spear with a long body and dark matt black apperance.
Titan_2.png,Titan sword with a Big blade and winged gaurd. Steel. Strong. Heavy. Smooth handle.
Titan_3.png,Titan sword with a Big blade and winged gaurd. Steel. Strong. Heavy. Smooth handle.
Titan_4.png,Titan sword with a Big blade and winged gaurd. Steel. Strong. Heavy. Smooth handle. Golden Blade. BLack handle
Titan_5.png,Titan sword with a Big blade and winged gaurd. Steel. Strong. Heavy. Smooth handle. Golden Blade. BLack handle
Trace_Rifle_1.png,Trace Rifle with 2 long toothed barrels. Energy crystal within the body. Curved and bendy piped design. Powerful. Exotic. Strong. Futuristic.
Trace_Rifle_13.png,Trace Rifle with a curved bumpy sivler body. Made of Galium. Spikey and smooth. Exotic. Powerful. Futuristic
Trace_Rifle_14.png,Trace Rifle with a rectangular tiger striped body. Large circular red energy crystal within the main body. Exotic. Powerful. Strong. Futuristic. 
Trace_Rifle_16.png,Smooth sleek Trace Rifle with a long tall narrow barrel. Purple and blue design. Shiny.
Trace_Rifle_2.png,Trace Rifle with big rectangular barrels. Silver battery in the center of the weapon.
Trace_Rifle_3.png,Trace RIfle with Large black traingular gaurds. Large Copper Spike down the middle. Exposed blue wires. Large Blue energy crystal in the middle. Exotic. Powerful. Strong. Futuristic. 
Trace_Rifle_4.png,Trace rifle with 2 Grey barrels and a large Clear Crystal in the body of the gun. Yellow and white.
Trace_Rifle_6.png,Trace Rifle with a flat appearance and Large Cylindrical Barrel. Textured barrel. Dark brown diffusing into white color scheme.
Trace_Rifle_7.png,Trace Rifle with 2 Black barrels and lots of small neyon green crystals within the body. Black body with green teeth. Exotic. Fuuristic. Rare. strong.Powerful.
Trace_Rifle_8.png,Trace Rifle with two grey cylindrical barrels on top and one clear glass barrel in the middle. Flat body. Futuristic. Powerful. Grey body gold accents.
Warlock_1.png,Waelock Spear with a black design and curved tipped blade.
Warlock_2.png,Warlock Sword with a Black blade with Jagged Edges. Strong. Large. 
Warlock_4.png,Warlock Sword with a grey demascus blade with Jagged Edges. Plasma ligned blade. GOlden handle. strong. large.
Warlock_5.png,Warlock Sword with a grey demascus blade with Jagged Edges. Plasma ligned blade. GOlden handle. strong. large.
